Date,Campaign,Channel,Campaign Type,Impressions,Clicks,CTR (%),Avg CPC ($),Spend ($),Conversions,Conv Rate (%),Cost/Conv ($),Revenue ($),ROAS
2026-02-01,"Spring Sale 2026 – Search",Google Ads,Search,2476,151,6.10,2.38,358.88,8,5.05,44.86,745.73,2.08
2026-02-01,"Spring Sale 2026 – Display",Google Ads,Display,24435,193,0.79,0.55,107.10,3,1.44,35.70,173.57,1.62
2026-02-01,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,17838,397,2.23,1.04,413.01,10,2.40,41.30,684.96,1.66
2026-02-01,"Brand Awareness – Stories",Meta (Instagram),Paid Social,14455,143,0.99,0.56,80.32,2,1.16,40.16,180.74,2.25
2026-02-01,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,2185,24,1.10,10.29,246.97,1,3.31,246.97,0.00,0.00
2026-02-01,"Product Launch – Video Ads",TikTok,Paid Social,67716,486,0.72,0.50,243.92,5,0.96,48.78,256.19,1.05
2026-02-01,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,8920,230,2.58,0.61,140.27,12,5.16,11.69,1912.99,13.64
2026-02-01,"Email Nurture – Weekly Newsletter",Email,Email,12393,36,0.29,0.00,27.47,1,3.03,27.47,79.42,2.89
2026-02-02,"Spring Sale 2026 – Search",Google Ads,Search,5330,288,5.40,2.23,640.95,16,5.46,40.06,1103.37,1.72
2026-02-02,"Spring Sale 2026 – Display",Google Ads,Display,43448,165,0.38,0.53,87.70,2,1.20,43.85,109.28,1.25
2026-02-02,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,19203,476,2.48,0.83,393.96,8,1.68,49.25,877.05,2.23
2026-02-02,"Brand Awareness – Stories",Meta (Instagram),Paid Social,17733,266,1.50,0.49,131.24,5,1.82,26.25,498.86,3.80
2026-02-02,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,6364,62,0.97,8.10,501.95,3,4.76,167.32,0.00,0.00
2026-02-02,"Product Launch – Video Ads",TikTok,Paid Social,70255,534,0.76,0.48,258.34,7,1.31,36.91,240.70,0.93
2026-02-02,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,8252,193,2.34,1.11,214.22,15,7.66,14.28,1386.68,6.47
2026-02-02,"Email Nurture – Weekly Newsletter",Email,Email,12261,81,0.66,0.00,21.97,3,4.30,7.32,216.74,9.86
2026-02-03,"Spring Sale 2026 – Search",Google Ads,Search,6569,503,7.66,1.95,978.94,29,5.76,33.76,3889.11,3.97
2026-02-03,"Spring Sale 2026 – Display",Google Ads,Display,42129,332,0.79,0.48,158.70,6,1.75,26.45,529.66,3.34
2026-02-03,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,30953,568,1.84,1.00,565.76,15,2.56,37.72,1078.60,1.91
2026-02-03,"Brand Awareness – Stories",Meta (Instagram),Paid Social,16641,185,1.11,0.62,115.31,3,1.85,38.44,247.88,2.15
2026-02-03,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,5499,46,0.84,8.47,389.42,1,3.04,389.42,0.00,0.00
2026-02-03,"Product Launch – Video Ads",TikTok,Paid Social,68771,653,0.95,0.36,232.74,9,1.44,25.86,320.69,1.38
2026-02-03,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11116,304,2.73,0.93,282.35,20,6.71,14.12,2058.19,7.29
2026-02-03,"Email Nurture – Weekly Newsletter",Email,Email,12468,56,0.45,0.00,31.43,2,3.60,15.72,126.38,4.02
2026-02-04,"Spring Sale 2026 – Search",Google Ads,Search,5793,262,4.52,2.50,654.97,15,5.57,43.66,1060.79,1.62
2026-02-04,"Spring Sale 2026 – Display",Google Ads,Display,45663,214,0.47,0.45,96.61,3,1.26,32.20,182.11,1.89
2026-02-04,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,28939,378,1.31,0.67,253.52,13,3.48,19.50,855.42,3.37
2026-02-04,"Brand Awareness – Stories",Meta (Instagram),Paid Social,20935,275,1.31,0.79,217.88,3,1.19,72.63,203.72,0.94
2026-02-04,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,6662,47,0.71,6.59,309.89,3,6.83,103.30,0.00,0.00
2026-02-04,"Product Launch – Video Ads",TikTok,Paid Social,70139,793,1.13,0.38,302.26,8,0.99,37.78,371.76,1.23
2026-02-04,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,10215,304,2.98,0.93,281.74,24,8.01,11.74,2375.33,8.43
2026-02-04,"Email Nurture – Weekly Newsletter",Email,Email,12054,71,0.59,0.00,15.20,2,3.05,7.60,179.75,11.82
2026-02-05,"Spring Sale 2026 – Search",Google Ads,Search,5184,388,7.48,2.66,1032.32,30,7.86,34.41,3737.50,3.62
2026-02-05,"Spring Sale 2026 – Display",Google Ads,Display,36596,203,0.55,0.43,87.07,4,1.85,21.77,342.47,3.93
2026-02-05,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,35484,538,1.52,0.88,471.85,15,2.85,31.46,1561.26,3.31
2026-02-05,"Brand Awareness – Stories",Meta (Instagram),Paid Social,13889,206,1.48,0.90,185.05,5,2.46,37.01,282.58,1.53
2026-02-05,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,7746,41,0.53,9.03,370.18,2,3.70,185.09,0.00,0.00
2026-02-05,"Product Launch – Video Ads",TikTok,Paid Social,61501,455,0.74,0.48,217.29,3,0.75,72.43,119.23,0.55
2026-02-05,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,10585,409,3.86,0.93,380.96,48,11.70,7.94,5844.11,15.34
2026-02-05,"Email Nurture – Weekly Newsletter",Email,Email,12319,84,0.68,0.00,24.20,2,2.26,12.10,207.93,8.59
2026-02-06,"Spring Sale 2026 – Search",Google Ads,Search,5087,320,6.29,2.17,694.40,17,5.38,40.85,1601.23,2.31
2026-02-06,"Spring Sale 2026 – Display",Google Ads,Display,36505,258,0.71,0.54,140.00,4,1.58,35.00,281.82,2.01
2026-02-06,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,19477,379,1.95,0.90,342.88,7,1.80,48.98,693.72,2.02
2026-02-06,"Brand Awareness – Stories",Meta (Instagram),Paid Social,15169,129,0.85,0.63,81.24,3,2.11,27.08,294.56,3.63
2026-02-06,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,8984,48,0.53,9.70,465.57,2,4.53,232.79,0.00,0.00
2026-02-06,"Product Launch – Video Ads",TikTok,Paid Social,61551,573,0.93,0.33,190.97,8,1.35,23.87,544.63,2.85
2026-02-06,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,14788,500,3.38,0.64,320.94,51,10.13,6.29,4766.89,14.85
2026-02-06,"Email Nurture – Weekly Newsletter",Email,Email,12011,76,0.63,0.00,32.59,2,3.01,16.29,224.89,6.90
